出自,中文,英文,摘自
,般若智慧，本自具足,"Prajna Wisdom, Inherently Complete",《心经》的禅观
处世梵,处世界，如虚空，如莲花，不著水,"live in the world as if in the void, like a lotus flower, not clinging to water",《心经》的禅观
六祖坛经,"菩提般若之智，世人本自有之，
只缘心迷，不能自悟。","The wisdom of Bodhi and Prajna is originally possessed by worldly people themselves. 
It is only because their minds are confused that they are unable to enlighten themselves.",《心经》的禅观
六祖坛经,"前念迷即凡夫，后念悟即佛；
前念著境即烦恼，后念离境即菩提。",The deluded mind is that of an ordinary being; the awakened mind is that of a Buddha. The mind attached to phenomena is afflicted; the mind detached from phenomena is enlightened.,《心经》的禅观
六祖坛经,前念著境即烦恼，后念离境即菩提。,"Past thoughts attached to states of being are afflictions, and future thoughts separate from states of being are Bodhi.",生命的痛苦及其解脱
六祖坛经,善知识!凡夫即佛，烦恼即菩提。前念迷即凡夫，后念悟即佛。前念著境即烦恼，后念离境即菩提,Good knowing advisors! Ordinary beings are themselves Buddhas; afflictions are themselves Bodhi. The deluded mind is that of an ordinary being; the awakened mind is that of a Buddha. The mind attached to phenomena is afflicted; the mind detahed from phenomena is enlightened. ,《六祖坛经》与心理治疗
六祖坛经,前念迷即众生，后念悟即佛。,"If your previous thought is deluded, you are a sentient being, if your next thought is enlightened, you are a Buddha. ",凡圣只在迷悟间
六祖坛经,菩提自性，本来清净，但用此心，直了成佛。,"The self-nature of Bodhi is originally clear and pure. Simply use that mind, and you will straightaway accomplish Buddhahood.",《心经》的禅观
,,"Bodhi, our self-nature, is inherently pure. Awaken to it, and you will directly attain Buddhahood.",凡圣只在迷悟间
六祖坛经·般若品,"心量广大，犹如虚空。无有边畔，亦无方圆大小，
亦非青黄赤白，亦无上下长短，亦无嗔无喜，
无是无非，无善无恶，无有头尾。诸佛刹土，尽同虚空。
世人妙性本空，无有一法可得。自性真空，亦复如是。","The true mind is as vast as the void, with no boundaries. It is not square or round, nor great or small. Neither is it blue, yellow, red or white. It is not above or below, nor long or short. It is without anger or joy, without right or wrong, without good or evil, and it has no head or tail. All Buddha lands are also as vast as the void. The wondrous self-nature of ordinary beings is originally empty, and there are no dharmas to be attained. It is the same with the inherent nature, which is truly empty.",《心经》的禅观
,尽大地是沙门一只眼。,The entire earth is but the eye of a monk.,《心经》的禅观
金刚经,"一切有为法，如梦幻泡影，
如露亦如电，应作如是观。","All conditioned phenomena are like dreams, illusions, bubbles, shadows, 
like dewdrops and a lightning flash. Contemplate them thus.",《心经》的禅观
,,"All conditioned phenomena are like dreams, illusions, bubbles, shadows, dew, and lightning, and should be viewed as such.",心灵创造幸福
佛说阿弥陀经,从是西方，过十万亿佛土,"to the West, beyond ten trillion Buddha lands",《心经》的禅观
