中文,英文,补充内容,英文
国际静心协会,Mindful Peace International (MPI),国际理事会,International Council
,,静心文化执行委员会,Mindful Peace Executive Committee
,,秘书处,Central Secretariat
支持与服务,Support & Service,战略委员会,Strategy Committee
,,静心文化基金会,Mindful Peace Foundation
,,静心品牌服务中心,Mindful Peace Brand Development Center
,,静心文化基地建设中心,Mindful Peace Campus Development Center
,,静心文化传播中心,Mindful Peace Media & Outreach Center
,,多语言交流中心,Multilingual Engagement Center
,,AI 技术服务中心,AI Innovation & Support Center
,,全球会员服务中心,Global Membership Center
,,静心使者服务中心,Mindful Peace Ambassadors Center
法脉传承,Dharma Transmission,法脉传承中心,Dharma Transmission Center
,,辅导中心,Mentorship Center
,,学员服务中心,Learners Support Center
,,传灯中心,Dharma Light Transmission Center
,,慈善中心,Compassion & Giving Center
,,知察中心,Compliance & Oversight Center
,,运营中心,Operations Center
,,僧伽修学中心,Sangha Development & Study Center
,,专项中心,Project Development Center
区域静心文化联合会,MPI Regional Associations,港澳台静心文化联合会,Mindful Peace Association – HK-Macau-Taiwan
,,日韩静心文化联合会,Mindful Peace Association – Japan-Korea
,,东南亚静心文化联合会,Mindful Peace Association – Southeast Asia
,,北美静心文化联合会,Mindful Peace Association – North America
,,欧洲静心文化联合会,Mindful Peace Association – Europe
,,大洋洲静心文化联合会,Mindful Peace Association – Oceania
,,大道大商静心文化联合会,Mindful Peace Alliance – Great Path & Great Business
